epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,889.886,1.07913,0.63923,1.07136,0.96339,0.94666,0.97488,0.81102,0.77211,7.63334,0.99878,0.00055554,0.00055554,0.00055554
2,1679.41,0.75464,0.47385,0.94208,0.96199,0.94786,0.97708,0.87186,0.60125,7.47681,0.94124,0.0010562,0.0010562,0.0010562
3,2445.18,0.63447,0.42631,0.90364,0.96397,0.95537,0.98177,0.89188,0.51962,8.81796,0.90369,0.00150185,0.00150185,0.00150185
4,3210.04,0.5689,0.38897,0.88522,0.96736,0.95643,0.98297,0.90829,0.47524,5.73129,0.89141,0.00141945,0.00141945,0.00141945
5,4077.52,0.52024,0.36265,0.87089,0.97021,0.95988,0.98631,0.91275,0.46039,3.69599,0.88733,0.00133693,0.00133693,0.00133693
6,4974.3,0.48945,0.34364,0.8635,0.97415,0.95949,0.98674,0.92866,0.43171,0.50747,0.87768,0.00125442,0.00125442,0.00125442
7,5848.05,0.46706,0.32848,0.8571,0.97285,0.96341,0.9875,0.9321,0.42735,0.56166,0.87468,0.0011719,0.0011719,0.0011719
8,6689.91,0.44924,0.31625,0.85351,0.97343,0.96197,0.98779,0.93696,0.40908,0.92372,0.86897,0.00108938,0.00108938,0.00108938
9,7458.43,0.43817,0.30437,0.85133,0.97854,0.96056,0.98962,0.94083,0.40029,0.70248,0.86947,0.00100687,0.00100687,0.00100687
10,8195.4,0.41996,0.29222,0.84583,0.97111,0.96968,0.98939,0.94388,0.38812,0.25152,0.86257,0.000924352,0.000924352,0.000924352
11,8843.08,0.38454,0.27369,0.84014,0.97661,0.96602,0.99019,0.9441,0.38441,0.27825,0.86191,0.000841835,0.000841835,0.000841835
12,9456.3,0.37723,0.27038,0.84219,0.97367,0.96888,0.98915,0.94561,0.38475,0.59922,0.86021,0.000759318,0.000759318,0.000759318
13,10136.6,0.35939,0.25162,0.83549,0.97467,0.9712,0.99021,0.94954,0.3664,0.56543,0.85655,0.000676802,0.000676802,0.000676802
14,10865.8,0.34421,0.23617,0.83221,0.97551,0.9688,0.98727,0.94878,0.36384,0.24238,0.85486,0.000594286,0.000594286,0.000594286
15,11660.1,0.33514,0.2199,0.82897,0.97502,0.96588,0.98696,0.94928,0.36372,0.2362,0.85886,0.000511769,0.000511769,0.000511769
16,12450.4,0.32336,0.20966,0.82753,0.97541,0.96435,0.9835,0.94733,0.35219,0.24062,0.85094,0.000429253,0.000429253,0.000429253
17,13243,0.31492,0.19404,0.82563,0.97604,0.96648,0.97566,0.94107,0.33866,0.23831,0.84564,0.000346736,0.000346736,0.000346736
18,14026.7,0.29954,0.18142,0.8228,0.97701,0.96729,0.98037,0.94809,0.32509,0.22422,0.84357,0.00026422,0.00026422,0.00026422
19,14829.6,0.28662,0.17192,0.81828,0.9771,0.96724,0.97921,0.94701,0.32517,0.22853,0.84279,0.000181703,0.000181703,0.000181703
20,15657.6,0.27227,0.16364,0.81396,0.97722,0.96663,0.97731,0.94614,0.31616,0.22563,0.84105,9.91865e-05,9.91865e-05,9.91865e-05
